"officer_id","num_complaints"
"1","6"
"2","8"
"4","7"
"5","4"
"6","6"
"7","7"
"8","2"
"9","3"
"11","7"
"12","7"
"13","10"
"14","4"
"15","1"
"16","19"
"17","25"
"18","5"
"19","5"
"20","3"
"21","16"
"25","1"
"27","4"
"29","6"
"33","13"
"34","13"
"35","2"
"38","13"
"39","24"
"41","5"
"42","12"
"43","1"
"44","20"
"45","2"
"46","1"
"47","6"
"48","8"
"49","7"
"50","2"
"51","8"
"52","15"
"54","12"
"56","8"
"58","36"
"59","14"
"60","24"
"61","8"
"62","3"
"64","5"
"65","31"
"66","9"
"67","19"
"69","13"
"70","8"
"71","1"
"72","1"
"75","27"
"76","4"
"77","5"
"78","8"
"79","4"
"80","6"
"81","9"
"82","1"
"83","6"
"87","4"
"88","5"
"89","7"
"90","25"
"91","17"
"92","25"
"93","12"
"94","15"
"95","12"
"96","11"
"97","2"
"100","6"
"103","2"
"105","15"
"107","3"
"108","6"
"109","2"
"110","8"
"111","16"
"112","3"
"113","10"
"114","22"
"115","13"
"116","4"
"117","18"
"118","14"
"119","15"
"122","12"
"123","1"
"124","15"
"126","3"
"127","43"
"128","32"
"129","7"
"130","19"
"132","1"
"133","4"
"134","12"
"135","10"
"137","6"
"138","12"
"139","1"
"140","13"
"141","2"
"142","7"
"143","15"
"144","3"
"145","2"
"146","2"
"147","9"
"148","4"
"149","7"
"151","3"
"152","30"
"154","1"
"155","2"
"156","31"
"157","23"
"160","12"
"161","3"
"164","11"
"167","2"
"168","10"
"169","5"
"170","16"
"171","2"
"174","1"
"176","1"
"178","38"
"179","1"
"180","1"
"181","5"
"182","9"
"183","18"
"184","2"
"185","1"
"186","6"
"187","5"
"188","4"
"190","20"
"191","42"
"192","17"
"193","2"
"195","3"
"196","12"
"197","18"
"198","20"
"199","27"
"200","16"
"201","4"
"202","4"
"203","18"
"204","8"
"205","2"
"208","13"
"209","11"
"210","6"
"211","4"
"213","9"
"214","2"
"215","1"
"216","20"
"218","13"
"220","18"
"222","5"
"223","9"
"225","23"
"229","17"
"230","6"
"232","9"
"233","12"
"235","7"
"237","19"
"238","14"
"239","7"
"241","29"
"242","15"
"243","24"
"244","9"
"245","27"
"246","5"
"247","4"
"248","7"
"249","12"
"250","11"
"251","1"
"252","18"
"254","4"
"255","5"
"256","24"
"257","15"
"258","17"
"259","10"
"260","14"
"261","2"
"262","23"
"263","22"
"265","1"
"267","2"
"268","3"
"270","33"
"271","18"
"273","2"
"274","7"
"275","13"
"277","1"
"278","4"
"280","4"
"283","11"
"284","5"
"286","6"
"287","16"
"288","10"
"289","6"
"291","9"
"292","7"
"293","3"
"294","15"
"295","11"
"297","5"
"298","1"
"300","17"
"302","5"
"303","1"
"306","13"
"309","10"
"310","4"
"311","4"
"312","15"
"315","6"
"318","1"
"319","11"
"320","1"
"321","3"
"322","1"
"323","12"
"325","7"
"326","5"
"327","2"
"328","1"
"329","5"
"330","2"
"331","4"
"332","12"
"335","1"
"336","6"
"337","8"
"338","10"
"339","11"
"340","9"
"341","11"
"343","4"
"344","2"
"345","5"
"346","17"
"350","2"
"351","18"
"352","20"
"353","12"
"354","5"
"357","6"
"359","1"
"360","6"
"361","21"
"362","9"
"364","28"
"366","21"
"367","3"
"368","8"
"370","1"
"372","18"
"373","13"
"374","9"
"375","2"
"376","26"
"377","8"
"379","18"
"380","10"
"381","1"
"382","1"
"385","37"
"386","7"
"387","26"
"388","8"
"389","47"
"391","1"
"392","7"
"393","14"
"394","7"
"395","17"
"396","7"
"397","20"
"398","5"
"399","1"
"400","23"
"402","2"
"403","23"
"404","1"
"405","12"
"406","12"
"407","14"
"408","1"
"409","13"
"412","3"
"413","3"
"416","1"
"417","24"
"418","1"
"419","1"
"420","31"
"421","3"
"422","39"
"424","17"
"425","41"
"426","9"
"428","7"
"429","19"
"430","5"
"431","2"
"432","1"
"435","12"
"436","10"
"437","7"
"438","11"
"440","9"
"441","16"
"442","7"
"444","2"
"445","2"
"446","7"
"447","1"
"448","28"
"449","2"
"450","7"
"451","15"
"454","6"
"457","4"
"459","8"
"460","2"
"461","15"
"463","9"
"464","4"
"465","28"
"466","3"
"469","6"
"470","3"
"471","3"
"472","2"
"473","22"
"474","6"
"475","10"
"476","8"
"477","4"
"478","48"
"484","4"
"485","2"
"486","3"
"487","15"
"488","15"
"489","13"
"490","9"
"491","1"
"492","1"
"494","1"
"495","2"
"497","4"
"498","31"
"499","1"
"500","2"
"501","7"
"502","7"
"505","14"
"506","1"
"508","5"
"509","1"
"510","3"
"513","3"
"514","1"
"515","8"
"516","17"
"518","35"
"519","27"
"520","48"
"521","9"
"525","2"
"526","2"
"529","28"
"530","6"
"531","8"
"532","5"
"533","17"
"535","3"
"536","2"
"537","3"
"539","2"
"540","4"
"541","11"
"542","15"
"543","5"
"545","15"
"546","3"
"549","6"
"550","3"
"553","1"
"554","1"
"556","7"
"558","1"
"560","10"
"561","1"
"563","8"
"565","2"
"567","3"
"568","2"
"569","23"
"571","1"
"572","20"
"573","6"
"574","2"
"575","10"
"576","33"
"577","2"
"579","62"
"580","2"
"581","11"
"582","1"
"583","9"
"584","1"
"585","1"
"586","3"
"587","2"
"588","22"
"589","1"
"591","21"
"592","14"
"593","2"
"594","2"
"597","12"
"598","11"
"600","1"
"603","3"
"605","2"
"607","5"
"608","2"
"609","5"
"610","6"
"611","5"
"613","3"
"614","12"
"615","21"
"617","13"
"618","8"
"619","7"
"621","36"
"623","1"
"624","15"
"625","5"
"626","13"
"627","8"
"628","13"
"630","2"
"632","30"
"633","19"
"634","16"
"635","11"
"638","7"
"639","24"
"640","1"
"641","8"
"642","16"
"643","3"
"644","10"
"645","60"
"646","35"
"647","4"
"648","16"
"649","1"
"650","90"
"652","10"
"653","10"
"654","7"
"658","14"
"659","2"
"660","10"
"661","4"
"662","2"
"663","21"
"664","3"
"665","6"
"666","1"
"667","3"
"668","7"
"670","6"
"672","15"
"673","2"
"674","11"
"675","16"
"676","19"
"677","1"
"678","21"
"680","4"
"681","5"
"682","18"
"683","1"
"684","7"
"686","2"
"687","2"
"688","3"
"690","6"
"691","3"
"694","8"
"695","25"
"696","9"
"697","5"
"698","14"
"700","7"
"701","1"
"702","15"
"703","6"
"704","2"
"709","4"
"711","5"
"713","4"
"715","10"
"719","1"
"720","1"
"721","8"
"725","28"
"727","8"
"728","3"
"729","6"
"730","3"
"732","5"
"734","11"
"735","10"
"736","20"
"738","14"
"739","9"
"740","15"
"742","3"
"743","2"
"745","5"
"747","7"
"750","29"
"752","4"
"753","4"
"754","33"
"756","7"
"757","4"
"758","12"
"759","38"
"761","29"
"762","1"
"763","17"
"764","11"
"766","3"
"768","4"
"769","5"
"770","3"
"772","2"
"775","1"
"777","4"
"779","1"
"780","13"
"781","1"
"783","1"
"785","12"
"786","1"
"787","5"
"789","1"
"790","68"
"791","12"
"792","9"
"793","3"
"794","6"
"797","11"
"798","3"
"799","5"
"800","29"
"801","4"
"805","13"
"806","6"
"808","9"
"809","7"
"810","1"
"812","10"
"814","6"
"817","5"
"818","8"
"819","10"
"820","7"
"821","12"
"823","13"
"824","2"
"825","11"
"826","6"
"827","7"
"828","8"
"829","2"
"831","2"
"833","44"
"834","2"
"835","7"
"836","46"
"838","2"
"839","1"
"840","7"
"841","10"
"842","10"
"843","18"
"844","12"
"846","3"
"847","3"
"848","5"
"849","25"
"850","18"
"852","11"
"854","30"
"855","4"
"856","11"
"858","16"
"859","28"
"860","2"
"863","5"
"864","11"
"865","1"
"867","23"
"868","2"
"869","1"
"870","9"
"871","21"
"872","10"
"874","5"
"875","4"
"876","5"
"877","5"
"878","1"
"879","6"
"880","8"
"881","8"
"882","16"
"883","7"
"884","2"
"885","36"
"886","5"
"887","18"
"888","8"
"889","35"
"890","37"
"893","1"
"894","2"
"896","5"
"898","1"
"899","2"
"900","2"
"901","6"
"902","24"
"903","23"
"906","7"
"907","7"
"908","13"
"909","21"
"910","62"
"911","9"
"913","6"
"915","14"
"916","4"
"920","3"
"921","2"
"922","2"
"923","13"
"924","3"
"925","5"
"926","12"
"927","6"
"928","3"
"929","20"
"930","17"
"931","1"
"932","7"
"933","49"
"938","1"
"940","4"
"942","3"
"943","20"
"944","22"
"947","5"
"948","1"
"949","2"
"950","2"
"951","3"
"952","11"
"955","4"
"957","6"
"958","8"
"959","5"
"960","3"
"961","10"
"964","6"
"965","21"
"966","12"
"968","9"
"969","14"
"970","1"
"971","7"
"972","4"
"973","3"
"974","6"
"975","3"
"976","10"
"977","2"
"979","25"
"980","8"
"981","7"
"982","14"
"983","21"
"984","18"
"985","53"
"986","12"
"987","3"
"990","2"
"994","31"
"996","1"
"997","20"
"999","2"
"1000","2"
"1001","8"
"1002","15"
"1003","1"
"1004","26"
"1005","18"
"1007","15"
"1008","6"
"1010","4"
"1012","27"
"1013","23"
"1014","4"
"1016","15"
"1017","2"
"1018","25"
"1020","5"
"1021","5"
"1022","22"
"1026","32"
"1027","4"
"1030","9"
"1031","3"
"1032","4"
"1033","22"
"1034","2"
"1035","1"
"1036","9"
"1037","66"
"1039","30"
"1040","6"
"1042","9"
"1043","17"
"1044","14"
"1046","2"
"1047","8"
"1048","31"
"1049","11"
"1050","1"
"1051","6"
"1052","5"
"1053","10"
"1054","38"
"1056","83"
"1057","26"
"1059","4"
"1060","12"
"1061","1"
"1062","9"
"1063","47"
"1065","5"
"1066","5"
"1067","2"
"1070","3"
"1072","15"
"1073","4"
"1075","21"
"1078","1"
"1079","11"
"1080","5"
"1082","2"
"1084","21"
"1085","12"
"1087","1"
"1088","1"
"1089","1"
"1090","9"
"1091","46"
"1092","7"
"1093","1"
"1094","28"
"1095","10"
"1096","16"
"1097","21"
"1098","4"
"1099","1"
"1100","3"
"1101","4"
"1102","14"
"1103","2"
"1105","4"
"1107","2"
"1108","2"
"1111","14"
"1112","11"
"1113","16"
"1114","11"
"1115","2"
"1116","10"
"1117","2"
"1118","1"
"1122","7"
"1123","1"
"1124","5"
"1126","4"
"1127","21"
"1128","8"
"1129","2"
"1130","7"
"1132","7"
"1133","6"
"1134","4"
"1136","7"
"1139","6"
"1141","19"
"1145","9"
"1146","32"
"1147","4"
"1148","23"
"1149","37"
"1151","2"
"1152","3"
"1153","7"
"1154","1"
"1156","2"
"1157","13"
"1158","3"
"1159","3"
"1160","9"
"1162","1"
"1163","1"
"1165","4"
"1166","2"
"1167","7"
"1168","10"
"1171","16"
"1172","53"
"1173","7"
"1175","17"
"1177","9"
"1178","1"
"1179","35"
"1180","2"
"1183","41"
"1184","10"
"1186","2"
"1188","2"
"1189","15"
"1190","10"
"1191","5"
"1193","13"
"1196","16"
"1201","2"
"1203","11"
"1205","13"
"1207","9"
"1208","4"
"1210","15"
"1211","17"
"1214","1"
"1215","12"
"1216","3"
"1218","17"
"1219","33"
"1220","4"
"1222","17"
"1224","7"
"1225","3"
"1227","2"
"1230","15"
"1231","6"
"1233","7"
"1234","6"
"1235","7"
"1237","5"
"1240","30"
"1241","9"
"1242","10"
"1243","6"
"1244","9"
"1245","3"
"1246","4"
"1247","9"
"1248","12"
"1250","5"
"1251","14"
"1252","6"
"1253","2"
"1254","1"
"1256","5"
"1257","19"
"1259","1"
"1260","21"
"1261","9"
"1262","13"
"1263","8"
"1264","1"
"1265","17"
"1266","23"
"1267","2"
"1270","14"
"1271","16"
"1272","14"
"1276","6"
"1277","30"
"1278","13"
"1279","1"
"1280","4"
"1281","4"
"1283","16"
"1284","1"
"1285","4"
"1286","2"
"1287","3"
"1288","39"
"1289","14"
"1290","20"
"1294","3"
"1295","9"
"1296","21"
"1297","9"
"1298","39"
"1299","12"
"1300","3"
"1301","5"
"1302","1"
"1303","25"
"1304","30"
"1307","1"
"1309","1"
"1310","6"
"1311","1"
"1314","23"
"1315","2"
"1316","20"
"1317","23"
"1318","4"
"1319","6"
"1320","3"
"1323","19"
"1324","25"
"1326","2"
"1327","2"
"1328","5"
"1330","1"
"1331","11"
"1332","49"
"1333","4"
"1335","20"
"1336","8"
"1338","2"
"1339","7"
"1340","9"
"1341","1"
"1343","1"
"1344","40"
"1345","20"
"1346","9"
"1347","5"
"1348","4"
"1349","9"
"1350","9"
"1351","6"
"1352","9"
"1353","16"
"1354","17"
"1355","8"
"1357","16"
"1358","9"
"1359","14"
"1360","10"
"1361","2"
"1362","2"
"1364","10"
"1365","5"
"1366","12"
"1367","7"
"1368","2"
"1369","7"
"1370","9"
"1371","28"
"1373","3"
"1375","4"
"1376","16"
"1377","2"
"1378","1"
"1379","3"
"1380","1"
"1381","10"
"1382","2"
"1385","13"
"1386","2"
"1389","18"
"1390","6"
"1391","10"
"1394","1"
"1397","5"
"1399","14"
"1402","3"
"1403","1"
"1408","4"
"1410","6"
"1411","9"
"1412","3"
"1413","8"
"1414","11"
"1415","5"
"1416","14"
"1417","11"
"1419","1"
"1420","49"
"1421","9"
"1422","5"
"1423","18"
"1425","1"
"1426","4"
"1427","6"
"1428","2"
"1429","2"
"1430","14"
"1432","3"
"1433","12"
"1434","19"
"1435","12"
"1436","19"
"1438","11"
"1439","1"
"1440","28"
"1442","12"
"1444","31"
"1446","3"
"1447","3"
"1452","7"
"1454","3"
"1455","16"
"1456","1"
"1457","1"
"1458","18"
"1460","1"
"1461","6"
"1462","16"
"1463","5"
"1464","15"
"1466","14"
"1467","7"
"1468","6"
"1469","9"
"1471","7"
"1473","4"
"1474","13"
"1475","7"
"1476","4"
"1477","8"
"1479","3"
"1480","14"
"1482","4"
"1483","21"
"1485","2"
"1488","7"
"1489","1"
"1490","10"
"1492","9"
"1495","3"
"1496","26"
"1501","8"
"1503","2"
"1504","3"
"1505","3"
"1506","15"
"1507","8"
"1509","34"
"1510","4"
"1511","35"
"1512","13"
"1513","8"
"1514","1"
"1515","8"
"1516","8"
"1517","16"
"1518","9"
"1519","7"
"1520","2"
"1521","1"
"1523","10"
"1524","3"
"1527","5"
"1528","13"
"1529","2"
"1530","3"
"1531","66"
"1532","9"
"1533","39"
"1534","4"
"1535","24"
"1537","1"
"1538","1"
"1542","2"
"1543","1"
"1544","8"
"1546","28"
"1547","25"
"1548","15"
"1549","9"
"1550","19"
"1551","2"
"1553","69"
"1554","7"
"1556","4"
"1557","4"
"1559","14"
"1561","7"
"1563","1"
"1564","4"
"1566","3"
"1569","5"
"1570","8"
"1571","3"
"1572","21"
"1573","18"
"1575","8"
"1576","5"
"1578","7"
"1579","5"
"1581","4"
"1582","15"
"1586","14"
"1588","31"
"1589","6"
"1592","2"
"1594","11"
"1595","19"
"1596","14"
"1597","3"
"1598","11"
"1599","9"
"1601","3"
"1602","7"
"1603","3"
"1604","2"
"1605","1"
"1606","10"
"1607","4"
"1609","4"
"1610","17"
"1611","4"
"1613","1"
"1614","1"
"1616","4"
"1617","2"
"1619","12"
"1620","4"
"1623","2"
"1624","1"
"1625","41"
"1627","4"
"1628","16"
"1629","1"
"1630","6"
"1631","6"
"1634","15"
"1635","2"
"1636","2"
"1637","2"
"1638","4"
"1639","4"
"1640","1"
"1642","14"
"1644","2"
"1645","4"
"1647","31"
"1648","8"
"1649","15"
"1650","16"
"1652","10"
"1654","18"
"1655","18"
"1656","3"
"1657","18"
"1658","33"
"1659","5"
"1660","1"
"1662","50"
"1663","3"
"1665","13"
"1666","16"
"1669","2"
"1670","1"
"1672","36"
"1673","2"
"1674","8"
"1675","2"
"1677","24"
"1678","10"
"1679","5"
"1680","12"
"1681","13"
"1683","6"
"1684","3"
"1685","2"
"1690","13"
"1691","12"
"1692","10"
"1693","4"
"1695","18"
"1696","23"
"1698","4"
"1700","3"
"1701","2"
"1702","9"
"1703","13"
"1704","14"
"1706","17"
"1707","2"
"1710","9"
"1713","3"
"1714","3"
"1715","47"
"1716","16"
"1717","9"
"1718","40"
"1720","3"
"1721","39"
"1722","17"
"1723","14"
"1725","4"
"1728","20"
"1729","18"
"1730","17"
"1732","6"
"1739","9"
"1742","6"
"1743","16"
"1744","21"
"1745","8"
"1747","13"
"1748","19"
"1749","2"
"1751","2"
"1752","2"
"1753","8"
"1754","16"
"1755","4"
"1756","9"
"1757","2"
"1758","12"
"1760","16"
"1761","9"
"1762","27"
"1763","1"
"1764","1"
"1765","2"
"1766","1"
"1768","1"
"1769","18"
"1771","10"
"1772","3"
"1773","10"
"1775","3"
"1776","13"
"1778","11"
"1785","12"
"1786","26"
"1788","13"
"1789","10"
"1790","1"
"1792","3"
"1793","4"
"1794","6"
"1796","6"
"1797","14"
"1800","28"
"1802","15"
"1803","15"
"1805","2"
"1808","14"
"1811","3"
"1812","6"
"1813","27"
"1814","5"
"1818","1"
"1821","1"
"1822","2"
"1823","17"
"1825","16"
"1827","3"
"1829","4"
"1830","7"
"1831","13"
"1832","47"
"1835","2"
"1838","5"
"1839","34"
"1841","7"
"1843","12"
"1844","26"
"1849","20"
"1850","1"
"1851","7"
"1852","3"
"1853","3"
"1858","5"
"1859","1"
"1860","1"
"1866","20"
"1867","7"
"1868","39"
"1869","12"
"1870","8"
"1871","15"
"1872","5"
"1873","9"
"1874","9"
"1875","8"
"1876","1"
"1877","6"
"1878","1"
"1879","25"
"1881","2"
"1882","19"
"1883","3"
"1884","13"
"1885","20"
"1889","8"
"1890","2"
"1891","39"
"1892","9"
"1894","2"
"1895","9"
"1896","8"
"1897","32"
"1898","8"
"1899","6"
"1900","11"
"1901","90"
"1904","3"
"1905","12"
"1907","20"
"1908","1"
"1909","22"
"1910","12"
"1911","1"
"1912","1"
"1913","5"
"1914","9"
"1915","21"
"1916","2"
"1918","7"
"1924","20"
"1926","9"
"1927","24"
"1928","7"
"1929","3"
"1930","3"
"1931","19"
"1932","30"
"1933","14"
"1935","3"
"1936","22"
"1937","6"
"1938","7"
"1940","12"
"1944","6"
"1945","7"
"1948","42"
"1950","22"
"1951","5"
"1953","2"
"1954","6"
"1956","18"
"1957","16"
"1958","16"
"1959","5"
"1962","2"
"1963","1"
"1966","2"
"1967","1"
"1969","2"
"1970","4"
"1971","26"
"1972","7"
"1973","5"
"1974","22"
"1975","1"
"1977","9"
"1979","1"
"1980","6"
"1981","7"
"1982","5"
"1984","19"
"1986","14"
"1988","26"
"1989","17"
"1990","1"
"1991","2"
"1992","26"
"1994","3"
"1995","20"
"2000","9"
"2001","6"
"2002","1"
"2003","8"
"2005","13"
"2006","7"
"2007","5"
"2008","30"
"2009","6"
"2010","3"
"2011","1"
"2013","56"
"2015","96"
"2020","7"
"2021","22"
"2022","6"
"2023","2"
"2024","11"
"2025","1"
"2028","9"
"2029","13"
"2030","14"
"2031","5"
"2032","5"
"2034","17"
"2036","12"
"2037","9"
"2038","1"
"2041","6"
"2042","9"
"2043","2"
"2045","3"
"2046","21"
"2047","12"
"2049","4"
"2050","3"
"2051","10"
"2052","29"
"2054","5"
"2058","1"
"2059","7"
"2060","2"
"2061","1"
"2062","6"
"2065","1"
"2067","1"
"2068","14"
"2069","1"
"2070","8"
"2071","4"
"2072","4"
"2075","10"
"2076","1"
"2077","4"
"2078","3"
"2083","17"
"2084","9"
"2085","31"
"2087","17"
"2088","11"
"2090","10"
"2093","6"
"2095","22"
"2096","87"
"2097","11"
"2098","3"
"2099","1"
"2100","5"
"2101","17"
"2103","9"
"2104","5"
"2106","19"
"2107","1"
"2109","3"
"2110","9"
"2111","17"
"2112","6"
"2113","32"
"2114","16"
"2115","2"
"2117","77"
"2118","8"
"2119","32"
"2120","22"
"2121","6"
"2123","8"
"2124","4"
"2125","11"
"2127","3"
"2128","4"
"2129","21"
"2131","4"
"2132","13"
"2135","1"
"2136","4"
"2137","14"
"2138","5"
"2139","18"
"2140","2"
"2141","6"
"2142","1"
"2143","3"
"2144","22"
"2145","45"
"2146","7"
"2147","27"
"2149","13"
"2150","10"
"2151","30"
"2152","1"
"2153","27"
"2154","2"
"2156","4"
"2157","11"
"2160","8"
"2161","15"
"2162","12"
"2163","1"
"2165","17"
"2166","6"
"2167","1"
"2168","43"
"2170","12"
"2171","5"
"2172","2"
"2173","8"
"2174","3"
"2175","7"
"2178","5"
"2180","12"
"2181","4"
"2183","16"
"2185","9"
"2186","2"
"2188","2"
"2189","6"
"2190","8"
"2191","22"
"2192","1"
"2197","2"
"2198","4"
"2199","1"
"2200","6"
"2201","14"
"2202","3"
"2205","22"
"2208","14"
"2209","12"
"2210","11"
"2211","29"
"2213","4"
"2214","21"
"2216","21"
"2219","6"
"2222","48"
"2223","7"
"2225","8"
"2226","3"
"2227","8"
"2228","21"
"2230","29"
"2231","1"
"2232","7"
"2233","3"
"2234","6"
"2236","3"
"2237","9"
"2240","27"
"2241","8"
"2242","12"
"2244","4"
"2247","26"
"2248","1"
"2250","2"
"2252","8"
"2253","4"
"2255","13"
"2257","7"
"2258","2"
"2259","32"
"2261","3"
"2264","25"
"2266","7"
"2267","1"
"2269","17"
"2270","1"
"2273","2"
"2275","4"
"2276","1"
"2277","12"
"2278","2"
"2280","1"
"2282","6"
"2283","9"
"2286","3"
"2287","4"
"2289","1"
"2290","18"
"2291","11"
"2292","5"
"2294","1"
"2295","16"
"2297","6"
"2298","11"
"2300","2"
"2301","5"
"2306","2"
"2307","67"
"2309","12"
"2310","6"
"2311","56"
"2314","11"
"2315","1"
"2316","8"
"2318","3"
"2322","22"
"2323","33"
"2325","11"
"2326","4"
"2327","1"
"2328","11"
"2329","6"
"2330","7"
"2331","4"
"2333","5"
"2334","16"
"2336","11"
"2337","5"
"2338","4"
"2340","1"
"2343","10"
"2344","7"
"2345","10"
"2346","24"
"2347","4"
"2348","2"
"2349","1"
"2350","13"
"2352","18"
"2353","45"
"2354","3"
"2356","85"
"2357","19"
"2358","7"
"2359","7"
"2360","7"
"2363","12"
"2364","8"
"2365","16"
"2366","2"
"2368","12"
"2369","62"
"2370","7"
"2372","6"
"2373","9"
"2374","28"
"2375","80"
"2380","14"
"2381","5"
"2382","3"
"2383","45"
"2384","25"
"2385","26"
"2386","26"
"2387","1"
"2388","46"
"2390","4"
"2392","13"
"2393","6"
"2394","49"
"2396","1"
"2397","19"
"2398","2"
"2399","32"
"2400","65"
"2401","3"
"2402","4"
"2403","20"
"2404","15"
"2408","2"
"2409","33"
"2410","3"
"2411","16"
"2413","12"
"2415","2"
"2416","27"
"2418","24"
"2419","2"
"2420","2"
"2421","1"
"2422","11"
"2423","5"
"2424","39"
"2425","1"
"2427","26"
"2428","14"
"2429","3"
"2431","1"
"2432","5"
"2433","29"
"2436","6"
"2437","1"
"2438","1"
"2439","20"
"2441","10"
"2442","7"
"2443","3"
"2446","2"
"2447","4"
"2448","55"
"2451","8"
"2452","8"
"2453","58"
"2454","1"
"2456","6"
"2457","3"
"2462","32"
"2463","11"
"2464","12"
"2465","1"
"2467","2"
"2468","3"
"2469","3"
"2470","35"
"2473","3"
"2474","19"
"2476","28"
"2478","13"
"2479","1"
"2482","6"
"2485","14"
"2486","3"
"2487","2"
"2489","2"
"2490","2"
"2491","1"
"2492","14"
"2493","16"
"2494","4"
"2496","20"
"2497","2"
"2498","10"
"2499","7"
"2500","13"
"2501","5"
"2502","2"
"2503","4"
"2504","4"
"2505","4"
"2506","29"
"2507","4"
"2508","21"
"2509","13"
"2510","10"
"2516","11"
"2518","4"
"2520","19"
"2521","4"
"2523","2"
"2524","1"
"2525","1"
"2526","20"
"2527","16"
"2528","25"
"2529","11"
"2532","24"
"2535","6"
"2536","12"
"2537","2"
"2539","22"
"2540","3"
"2541","5"
"2542","2"
"2543","17"
"2544","1"
"2545","5"
"2546","2"
"2547","3"
"2552","10"
"2553","9"
"2554","4"
"2555","39"
"2556","3"
"2557","4"
"2559","1"
"2560","15"
"2561","16"
"2563","23"
"2568","4"
"2570","9"
"2571","13"
"2572","18"
"2573","10"
"2574","5"
"2575","29"
"2576","7"
"2577","13"
"2578","6"
"2579","11"
"2583","6"
"2584","15"
"2585","4"
"2587","3"
"2588","16"
"2590","1"
"2591","3"
"2592","3"
"2593","1"
"2594","1"
"2595","8"
"2597","27"
"2598","6"
"2599","4"
"2600","38"
"2601","1"
"2602","3"
"2603","2"
"2604","2"
"2605","12"
"2606","1"
"2607","10"
"2609","14"
"2610","62"
"2611","8"
"2612","15"
"2613","2"
"2615","8"
"2616","13"
"2617","4"
"2618","3"
"2620","2"
"2621","10"
"2622","48"
"2624","7"
"2626","11"
"2627","7"
"2628","30"
"2631","25"
"2632","1"
"2633","5"
"2634","4"
"2635","12"
"2636","1"
"2637","2"
"2642","3"
"2643","4"
"2644","1"
"2645","9"
"2646","14"
"2649","18"
"2650","1"
"2652","9"
"2653","10"
"2654","6"
"2655","2"
"2659","46"
"2660","6"
"2663","27"
"2664","1"
"2665","20"
"2666","1"
"2667","15"
"2668","1"
"2669","53"
"2670","2"
"2671","40"
"2672","6"
"2673","1"
"2674","1"
"2675","4"
"2676","37"
"2677","32"
"2681","4"
"2682","2"
"2683","3"
"2685","10"
"2686","3"
"2687","1"
"2690","1"
"2691","6"
"2692","3"
"2693","15"
"2694","5"
"2695","6"
"2696","22"
"2697","14"
"2698","2"
"2700","2"
"2701","5"
"2703","3"
"2704","12"
"2705","24"
"2706","4"
"2707","17"
"2708","1"
"2709","8"
"2711","1"
"2712","15"
"2713","9"
"2714","8"
"2716","10"
"2718","8"
"2720","24"
"2721","15"
"2722","19"
"2723","2"
"2724","9"
"2725","84"
"2726","1"
"2728","12"
"2729","6"
"2732","2"
"2733","2"
"2734","16"
"2735","10"
"2738","2"
"2739","6"
"2741","39"
"2744","1"
"2745","14"
"2746","16"
"2747","3"
"2748","25"
"2749","22"
"2752","4"
"2753","1"
"2754","9"
"2757","1"
"2758","4"
"2762","2"
"2765","9"
"2767","2"
"2768","1"
"2769","14"
"2770","7"
"2773","1"
"2774","2"
"2779","5"
"2780","2"
"2781","5"
"2782","1"
"2783","5"
"2784","3"
"2785","3"
"2786","7"
"2787","12"
"2788","14"
"2789","2"
"2790","3"
"2791","4"
"2794","2"
"2795","1"
"2797","17"
"2798","9"
"2799","2"
"2800","4"
"2802","39"
"2803","19"
"2805","1"
"2806","4"
"2808","4"
"2809","27"
"2811","5"
"2812","12"
"2813","2"
"2814","2"
"2815","11"
"2816","1"
"2817","5"
"2818","3"
"2819","1"
"2820","22"
"2821","10"
"2822","18"
"2823","5"
"2824","22"
"2825","64"
"2826","5"
"2828","1"
"2829","28"
"2830","13"
"2833","2"
"2834","1"
"2836","7"
"2837","3"
"2840","12"
"2843","10"
"2844","12"
"2846","4"
"2847","3"
"2848","28"
"2849","18"
"2850","29"
"2851","10"
"2852","6"
"2853","1"
"2854","3"
"2856","12"
"2857","4"
"2858","2"
"2859","11"
"2861","1"
"2865","16"
"2866","16"
"2867","22"
"2868","5"
"2869","2"
"2870","6"
"2871","6"
"2873","1"
"2874","2"
"2875","3"
"2876","4"
"2878","26"
"2882","1"
"2883","2"
"2884","1"
"2885","4"
"2886","5"
"2887","2"
"2888","2"
"2889","22"
"2890","8"
"2892","11"
"2893","16"
"2896","6"
"2898","4"
"2900","4"
"2904","5"
"2907","47"
"2909","3"
"2910","25"
"2912","14"
"2913","3"
"2914","6"
"2915","3"
"2916","2"
"2917","29"
"2918","3"
"2919","16"
"2920","2"
"2921","16"
"2922","2"
"2924","2"
"2925","12"
"2926","4"
"2929","10"
"2930","16"
"2931","23"
"2932","9"
"2933","7"
"2934","1"
"2935","13"
"2936","10"
"2937","1"
"2938","1"
"2940","6"
