"cop_id","sum_total_cost"
"137","950000"
"208","950000"
"520","950000"
"1851","11525000"
"3543","2750"
"3762","1250000"
"4208","10000000"
"5114","5375000"
"5148","350000"
"5272","10250000"
"5502","3600000"
"5912","5375000"
"5934","5375000"
"6098","6150000"
"6594","3600000"
"6689","10268118"
"6852","10268118"
"6958","625000"
"7248","12300000"
"7323","11525000"
"7370","1250000"
"7557","22928958"
"7609","10250000"
"7616","2750"
"7635","6375000"
"7773","6150000"
"7894","7400000"
"8000","13550000"
"8147","10000000"
"8156","10250000"
"8159","1252750"
"8161","250000"
"8265","100000"
"8280","625000"
"8309","5375000"
"8497","14850000"
"8660","42775000"
"8750","2750"
"8803","550000"
"9019","3500000"
"9055","2750"
"9062","10268118"
"9072","13070383"
"9105","3600000"
"9220","45000"
"9268","50000"
"9458","1465000"
"9494","2750"
"9613","200000"
"9709","2750"
"9718","10268118"
"9723","2750"
"9860","51500"
"9875","15000000"
"9964","45000"
"9977","409647"
"10091","13600000"
"10117","250000"
"10125","2750"
"10380","454918"
"10395","1750"
"10477","1041425"
"10663","350000"
"10680","550000"
"10734","85000"
"10769","200000"
"10868","270000"
"10919","15067500"
"10924","22500"
"11433","6150000"
"11447","6150000"
"11734","2500"
"11766","30000"
"11914","15858462"
"12076","340000"
"12153","40000"
"12208","250000"
"12211","858462"
"12247","60000"
"12379","50000"
"12396","5000"
"12416","3400000"
"12435","11403958"
"12590","10000"
"12688","46000"
"12736","20000"
"12744","15000000"
"12753","1731500"
"12779","86000"
"12791","50000"
"12837","20000"
"12843","432720"
"12845","5000"
"12952","100000"
"12972","20000"
"13014","15000000"
"13098","31986"
"13127","870000"
"13153","100000"
"13225","75000"
"13293","51000"
"13350","45000"
"13468","3600000"
"13492","30000"
"13587","17000"
"13604","3000"
"13671","650000"
"13707","250000"
"13799","69693"
"13952","25000"
"13978","5000000"
"13986","45000"
"14017","15000"
"14028","325000"
"14031","40000"
"14036","5000"
"14039","250000"
"14052","60000"
"14060","432720"
"14085","45000"
"14094","5024999"
"14107","3500000"
"14111","10268118"
"14131","20000"
"14187","5000"
"14239","385000"
"14257","15000"
"14260","250000"
"14317","2675000"
"14358","48000"
"14394","200000"
"14424","45000"
"14451","500000"
"14458","21000"
"14508","2500"
"14534","32000"
"14550","90004"
"14561","7050000"
"14591","22500"
"14618","250000"
"14646","694"
"14647","10000"
"14667","75558"
"14683","50000"
"14687","15000"
"14692","10000"
"14695","1170646"
"14698","18000"
"14710","45000"
"14711","250000"
"14712","750000"
"14740","29000"
"14769","3000"
"14773","6000"
"14785","150000"
"14838","55000"
"14840","506300"
"14857","2000"
"14867","432720"
"14918","31986"
"14922","21000"
"14934","220000"
"14951","50000"
"14961","71510"
"14973","60000"
"14978","45000"
"14987","567500"
"14990","10000"
"14997","55000"
"15034","100000"
"15045","5500"
"15061","7250"
"15075","25000"
"15089","155000"
"15100","525000"
"15110","10000"
"15114","22500"
"15117","15000"
"15120","375000"
"15128","10000"
"15142","95000"
"15147","3400000"
"15148","45000"
"15165","750000"
"15173","3640000"
"15211","250000"
"15215","3000000"
"15232","46000"
"15237","1250000"
"15248","277500"
"15269","191000"
"15281","30000"
"15304","340000"
"15316","65000"
"15336","99000"
"15338","150000"
"15341","15000000"
"15349","858462"
"15351","51000"
"15377","22500"
"15378","10000"
"15417","5000"
"15426","15000000"
"15429","211000"
"15431","315000"
"15451","5000"
"15460","409647"
"15473","15000"
"15476","80000"
"15539","325000"
"15558","32500"
"15570","45000"
"15579","15000"
"15596","500000"
"15597","1500"
"15609","550000"
"15616","25636"
"15630","60000"
"15650","50000"
"15658","15000"
"15666","25000"
"15667","30000"
"15682","51000"
"15704","10000"
"15721","870000"
"15748","2642"
"15751","85000"
"15763","1428462"
"15769","2500"
"15792","7050000"
"15809","25000"
"15810","1058462"
"15813","582720"
"15865","5005000"
"15866","40000"
"15867","250000"
"15879","20000"
"15880","100000"
"15910","150000"
"15921","152896"
"15938","67500"
"15950","111001"
"15991","29000"
"16058","100000"
"16082","15000"
"16148","40000"
"16168","250000"
"16174","55000"
"16183","3400000"
"16226","99999"
"16236","5000"
"16253","45000"
"16255","5000"
"16301","750000"
"16329","2675000"
"16343","9500"
"16348","220000"
"16366","10000"
"16369","7500"
"16372","1500"
"16373","29000"
"16413","99000"
"16454","7250"
"16457","40000"
"16477","150000"
"16486","48000"
"16505","24000"
"16511","15000"
"16534","45000"
"16546","250000"
"16565","20000"
"16572","500000"
"16575","30000"
"16592","55000"
"16603","50000"
"16652","15000000"
"16679","29000"
"16689","5000"
"16704","100000"
"16711","37500"
"16739","29448"
"16741","263500"
"16786","68500"
"16791","80000"
"16828","10000"
"16831","220000"
"16844","970000"
