"officer_id","gender","race","rank","age","has_recent_complaint"
"287","M","Hispanic","Police Officer","43","1"
"2083","M","White","Police Officer","46","1"
"2114","M","Black","Police Officer","42","1"
"2147","M","Black","Police Officer","49","1"
"2781","F","Hispanic","Detective","43","1"
"5096","M","White","Police Officer","47","1"
"6404","F","White","Police Officer","38","0"
"8691","M","White","Police Officer","40","1"
"9295","M","White","Sergeant","48","1"
"14230","M","White","Police Officer","45","1"
"14667","M","White","Police Officer","47","1"
"15539","M","White","Police Officer","33","1"
"15574","M","Asian/Pacific","Police Officer","32","1"
"16251","M","Hispanic","Police Officer","52","1"
"16952","M","White","Sergeant","43","1"
"20056","M","White","Sergeant","54","1"
"20477","M","Black","Field Training Officer","54","1"
"20561","F","Black","Detective","45","0"
"22520","M","White","Sergeant","35","1"
"23415","M","Hispanic","Police Officer","45","1"
"24111","M","Hispanic","Police Officer","30","1"
"25871","M","Black","Police Officer","40","1"
"26581","M","White","Police Officer","32","1"
"28000","M","White","Detective","53","1"
"28438","M","Black","Police Officer","43","1"
"28643","F","White","Police Officer","35","1"
"30668","M","Black","Police Officer","41","1"
"31512","M","Asian/Pacific","Police Officer","48","1"
"340","M","Asian/Pacific","Police Officer","35","1"
"745","F","Black","Sergeant","48","0"
"770","M","White","Police Officer","47","1"
"1382","F","White","Police Officer","36","0"
"1444","M","Hispanic","Sergeant","38","1"
"3941","M","Black","Police Officer","41","1"
"9528","F","Hispanic","Police Officer","41","1"
"10364","M","Hispanic","Sergeant","35","1"
"10567","M","Hispanic","Police Officer","28","1"
"12481","M","Black","Police Officer","39","1"
"13937","M","Asian/Pacific","Police Officer","33","1"
"15383","M","White","Sergeant","37","1"
"15713","M","White","Police Officer","54","1"
"19369","M","Hispanic","Police Officer","48","0"
"20885","M","White","Sergeant","40","1"
"21413","M","Hispanic","Police Officer","38","1"
"23744","M","Hispanic","Police Officer","44","1"
"24790","M","White","Police Officer","44","1"
"25698","M","White","Police Officer","47","1"
"26186","M","White","Police Officer","49","0"
"26195","M","White","Police Officer","55","0"
"26814","M","Black","Police Officer","33","1"
"27146","F","Black","Police Officer","39","1"
